三時,TAM THỜI,ba giờ,
日記,NHẬT KÍ,nhật ký,
暗記する,ÁM KÍ,học thuộc lòng,
記事,KÍ SỰ,điều khoản,
記者,KÍ GIẢ,phóng viên,
記入する,KÍ NHẬP,điền,
記念,KÍ NIỆM,lễ tưởng niệm,
記録,KÍ LỤC,kỷ lục,
記す,KÍ,chú ý,
吉,CÁT,vận may,
大吉,ĐẠI CÁT,may mắn tuyệt vời,
吉日,CÁT NHẬT,ngay may man,
不吉な,BẤT CÁT,điềm xấu,
吉報,CÁT BÁO,tin tốt,
吉凶,CÁT HUNG,số phận,
吉田さん,CÁT ĐIỀN,yoshida,
結婚する,KẾT HÔN,cưới,
離婚する,LI HÔN,ly hôn,
婚約する,HÔN ƯỚC,hãy tham gia,
婚約者,HÔN ƯỚC GIẢ,hôn phu,
既婚,KÍ HÔN,có gia đình,
未婚,VỊ HÔN,chưa kết hôn,
新婚,TÂN HÔN,vợ chồng mới cưới,
求婚する,CẦU HÔN,cầu hôn,
共に,CỘNG,cùng nhau,
共通,CỘNG THÔNG,chung,
公共,CÔNG CỘNG,công cộng,
共感する,CỘNG CẢM,thông cảm,
共産主義,CỘNG SẢN CHỦ NGHĨA,chủ nghĩa cộng sản,
共学,CỘNG HỌC,sự dạy chung,
共同,CỘNG ĐỒNG,kết hợp,
両親,LẠNG THÂN,phụ huynh,
両手,LẠNG THỦ,cả hai bàn tay,
両方,LẠNG PHƯƠNG,cả hai,
両側,LẠNG TRẮC,cả hai bên,
両替,LẠNG THẾ,thu đổi ngoại tệ,
両立する,LẠNG LẬP,tương hợp,
老人,LÃO NHÂN,cũ người đàn ông,
老いる,LÃO,ngày xưa,
老ける,LÃO,fukeru,
老化,LÃO HÓA,tuổi già,
老眼,LÃO NHÃN,chứng viển thị,
娘,NƯƠNG,con gái,
一人娘,NHẤT NHÂN NƯƠNG,chỉ có con gái,
娘婿,NƯƠNG TẾ,con riêng,
奥,ÁO,trở lại,
奥さん,ÁO,sự gọi bà,
奥歯,ÁO XỈ,răng hàm,
奥ゆかしい,ÁO,khiêm tốn,
奥行き,ÁO HÀNH,chiều sâu,
男性,NAM TÍNH,đàn ông,
女性,NỮ TÍNH,đàn bà,
性別,TÍNH BIỆT,tính,
正確,CHÁNH XÁC,chính xác,
無理な, LÍ,vô lý,
性質,TÍNH CHẤT,bản chất,
理性,LÍ TÍNH,lý do,
酸性,TOAN TÍNH,tính axit,
相性,TƯƠNG TÍNH,khả năng tương thích,
招待する,CHIÊU ĐÃI,mời,
招く,CHIÊU,mời,
招き,CHIÊU,lời mời,
招待状,CHIÊU ĐÃI TRẠNG,lời mời,
初めは,SƠ,ban đầu,
初めて,SƠ,lần đầu tiên,
最初,TỐI SƠ,đầu tiên,
初級,SƠ CẤP,cấp tiểu học,
初恋,SƠ LUYẾN,mối tình đầu,
初心者,SƠ TÂM GIẢ,người bắt đầu,
初夏,SƠ HẠ,đầu mùa hè,
初々しい,SƠ,vô tội,
五歳,NGŨ TUẾ,năm tuổi,
二十歳,NHỊ THẬP TUẾ,hai mươi tuổi,
万歳,VẠN TUẾ,vô,
お歳暮,TUẾ MỘ,quà tặng,
一枚,NHẤT MAI,một tờ,
枚数,"MAI SỔ,SỐ",số tờ,
二枚目,NHỊ MAI MỤC,đẹp,
一冊,NHẤT SÁCH,một bản sao của,
小冊子,TIỂU SÁCH TỬ,sách nhỏ,
別冊,BIỆT SÁCH,khối lượng riêng,
短冊,ĐOẢN SÁCH,tước giấy,
冊数,"SÁCH SỔ,SỐ",số sách,
二階,NHỊ GIAI,lên lầu,
階段,GIAI ĐOẠN,cầu thang,
段階,ĐOẠN GIAI,sân khấu,
階級,GIAI CẤP,lớp,
番号,PHIÊN HÀO,số,
記号,KÍ HÀO,ký hiệu,
一号車,NHẤT HÀO XA,một xe,
信号,TÍN HÀO,tín hiệu,
第三号,ĐỆ TAM HÀO,vấn đề thứ ba,
年号,NIÊN HÀO,tên của một thời đại,
暗号,ÁM HÀO,mật mã,
三倍,TAM BỘI,ba lần,
倍数,"BỘI SỔ,SỐ",nhiều,
倍率,BỘI SUẤT,độ phóng đại,
倍増する,BỘI TĂNG,để tăng gấp đôi,
人一倍,NHÂN NHẤT BỘI,không bình thường,
その他,THA,khác,
他の,THA,khác,
他人,THA NHÂN,khác,
他動詞,THA ĐỘNG TỪ,tha,
負ける,PHỤ,mất,
勝負,THẮNG PHỤ,trò chơi,
負担,PHỤ ĐẢM,gánh nặng,
背負う,BỐI PHỤ,vai,
負傷,PHỤ THƯƠNG,vết thương,
抱負,BÃO PHỤ,khát vọng,
負かす,PHỤ,sự thất bại,
賛成する,TÁN THÀNH,đồng ý,
賞賛する,THƯỞNG TÁN,để ca ngợi,
賛否,TÁN PHỦ,ưu và nhược điểm,
絶賛,TUYỆT TÁN,đại ngưỡng mộ,
絶対に,TUYỆT ĐỐI,tuyệt đối,
絶滅,TUYỆT DIỆT,tiêu diệt,
絶えず,TUYỆT,thường xuyên,
気絶する,KHÍ TUYỆT,xỉu,
絶望,TUYỆT VỌNG,tuyệt vọng,
絶える,TUYỆT,bị tiêu diệt,
続ける,TỤC,tiếp tục,
続く,TỤC,theo,
続き,TỤC,tiếp tục,
手続き,THỦ TỤC,phương pháp,
連続,LIÊN TỤC,liên tục,
相続,TƯƠNG TỤC,di sản,
続々,TỤC,cái khác,
接続詞,TIẾP TỤC TỪ,kết hợp,
辞書,TỪ THƯ,tự điển,
辞める,TỪ,xin thôi việc,
辞典,TỪ ĐIỂN,tự điển,
辞職する,TỪ CHỨC,xin thôi việc,
辞退する,TỪ THỐI,từ chối,
お世辞,THẾ TỪ,nịnh hót,
辞表,TỪ BIỂU,sự từ chức,
約束,ƯỚC THÚC,lời hứa,
予約,DỮ ƯỚC,đặt phòng,
約百人,ƯỚC BÁCH NHÂN,về trăm người,
婚約,HÔN ƯỚC,hôn ước,
節約する,TIẾT ƯỚC,bảo tồn,
契約,KHẾ ƯỚC,hợp đồng,
要約,YẾU ƯỚC,tóm lược,
約束,ƯỚC THÚC,lời hứa,
花束,HOA THÚC,bó hoa,
束,THÚC,xăn lên,
束ねる,THÚC,bó lại,
束縛,THÚC PHƯỢC,nô lệ,
夢,MỘNG,giấc mơ,
夢中,MỘNG TRUNG,say mê,
悪夢,ÁC MỘNG,ác mộng,
初夢,SƠ MỘNG,giấc mơ đầu tiên,
無我夢中, NGÃ MỘNG TRUNG,sự ngây ngất,
飛ぶ,PHI,bay,
飛行機,PHI HÀNH CƠ,máy bay,
飛び出す,PHI XUẤT,bay ra,
飛ばす,PHI,nhảy,
飛行場,"PHI HÀNH TRÀNG,TRƯỜNG",sân bay,
飛び込む,PHI VÀO,lặn,
飛び起きる,PHI KHỞI,nhảy lên,
失う,THẤT,mất,
失業,THẤT NGHIỆP,thất nghiệp,
失礼な,THẤT LỄ,vô lể,
失敗する,THẤT BẠI,thất bại,
失恋する,THẤT LUYẾN,thất tình,
失望,THẤT VỌNG,thất vọng,
失神する,THẤT THẦN,xỉu,
速い,TỐC,nhanh,
早速,TẢO TỐC,ngay lập tức,
速達,TỐC ĐẠT,giao hàng đặc biệt,
快速電車,KHOÁI TỐC ĐIỆN XA,tàu cao tốc,
高速道路,CAO TỐC ĐẠO LỘ,xa lộ,
時速,THỜI TỐC,tốc độ,
速やかな,TỐC,nhanh chóng,
駐車する,TRÚ XA,đỗ xe,
駐車場,"TRÚ XA TRÀNG,TRƯỜNG",đậu xe,
駐日大使,TRÚ NHẬT ĐẠI SỬ,đại sứ nhật bản,
二泊三日,NHỊ BẠC TAM NHẬT,ba ngày và hai đêm,
一泊する,NHẤT BẠC,nghỉ đêm,
泊まる,BẠC,ở lại,
泊める,BẠC,đưa lên,
宿泊,TÚC BẠC,chổ trọ,
座る,TỌA,ngồi,
口座,KHẨU TỌA,tài khoản,
座席,TỌA TỊCH,ghế,
座布団,TỌA BỐ ĐOÀN,gối,
座談会,TỌA ĐÀM HỘI,hội nghị chuyên đề,
座敷,TỌA PHU,phòng tatami,
島,ĐẢO,đảo,
半島,BÁN ĐẢO,bán đảo,
列島,LIỆT ĐẢO,quần đảo,
島国,ĐẢO QUỐC,quốc đảo,
島民,ĐẢO DÂN,người ở đảo,
無人島, NHÂN ĐẢO,hoang đảo,
申す,THÂN,lời nói,
申し上げる,THÂN THƯỢNG,nói,
申し込む,THÂN VÀO,ứng dụng,
申し訳ない,THÂN DỊCH,lấy làm tiếc,
申請書,THÂN THỈNH THƯ,mẫu đăng ký,
申し出る,THÂN XUẤT,trả giá,
神様,THẦN DẠNG,chúa,
田中様,ĐIỀN TRUNG DẠNG,kiểu tanaka,
様々な,DẠNG,khác nhau,
様子,DẠNG TỬ,xuất hiện,
同様に,ĐỒNG DẠNG,tương tự như vậy,
皆様,GIAI DẠNG,những người,
王様,VƯƠNG DẠNG,vua,
模様,MÔ DẠNG,mẫu,
調べる,ĐIỀU,xem xét,
強調する,CƯỜNG ĐIỀU,nhấn mạnh,
調子,ĐIỀU TỬ,giọng,
調査,ĐIỀU TRA,điều tra,
調味料,ĐIỀU VỊ LIỆU,đồ gia vị,
調節,ĐIỀU TIẾT,quy định,
整える,CHỈNH,tỉa,
調査,ĐIỀU TRA,điều tra,
検査,KIỂM TRA,sự kiểm tra,
巡査,TUẦN TRA,cảnh sát viên,
操作,THAO TÁC,hoạt động,
審査,THẨM TRA,xem lại,
相談する,TƯƠNG ĐÀM,tư vấn,
冗談,NHŨNG ĐÀM,câu nói đùa,
会談,HỘI ĐÀM,hội nghị,
懇談会,KHẨN ĐÀM HỘI,hội nghị bàn tròn,
雑談,NAN ĐÀM,trò chuyện,
対談,ĐỐI ĐÀM,nói chuyện,
案内する,ÁN NỘI,mời,
十日以内,THẬP NHẬT DĨ NỘI,trong ngày 10,
家内,GIA NỘI,vợ,
国内,QUỐC NỘI,nội bộ,
内,NỘI,nội,
内科,NỘI KHOA,nội y,
内容,NỘI DUNG,nội dung,
境内,CẢNH NỘI,phức hợp,
山本君,"SAN,SƠN BỔN QUÂN",yamamoto,
君,QUÂN,bạn,
君主,QUÂN CHỦ,vua,
星,TINH,ngôi sao,
衛星,VỆ TINH,truyền hình vệ tinh,
星座,TINH TỌA,chòm sao,
星占い,"TINH CHIÊM,CHIẾM",lá số tử vi,
火星,HỎA TINH,hỏa tinh,
惑星,HOẶC TINH,hành tinh,
流れ星,LƯU TINH,sao băng,
明星,MINH TINH,ngôi sao,
直す,TRỰC,sửa chữa,
直る,TRỰC,lành vết thương,
正直な,CHÁNH TRỰC,thành thật,
見直す,KIẾN TRỰC,xem lại,
直接,TRỰC TIẾP,trực tiếp,
直線,TRỰC TUYẾN,đường thẳng,
素直な,TỐ TRỰC,thành thật,
直ちに,TRỰC,ngay,
危険,NGUY HIỂM,nguy hiểm,
険しい山,"HIỂM SAN,SƠN",một ngọn đồi dốc,
冒険,MẠO HIỂM,phiêu lưu,
保険,BẢO HIỂM,bảo hiểm,
険悪な,HIỂM ÁC,hay cau có,
拾う,THẬP,đón,
拾得物,THẬP ĐẮC VẬT,vật phẩm tìm thấy,
捨てる,XẢ,vứt đi,
見捨てる,KIẾN XẢ,bỏ,
四捨五入,TỨ XẢ NGŨ NHẬP,làm tròn,
取捨選択,THỦ XẢ TUYỂN TRẠCH,sự lựa chọn,
タバコを吸う,HẤP,hút thuốc,
吸う,HẤP,hút,
呼吸する,HÔ HẤP,thở,
吸収,"HẤP THU,THÂU",hấp thu,
吸い殻,HẤP XÁC,thuốc lá cuối,
変な,BIẾN,lạ,
変わる,BIẾN,thay đổi,
変える,BIẾN,thay đổi,
大変,ĐẠI BIẾN,rất,
変化,BIẾN HÓA,thay đổi,
変更,BIẾN CANH,thay đổi,
相変わらず,TƯƠNG BIẾN,như thường lệ,
歯,XỈ,răng,
歯医者,XỈ Y GIẢ,nha sĩ,
虫歯,TRÙNG XỈ,sâu răng,
歯磨き,XỈ MA,kem đánh răng,
横,HOÀNH,bên cạnh,
横切る,HOÀNH THIẾT,hội chữ thập,
横断歩道,HOÀNH ĐOẠN BỘ ĐẠO,băng qua đường đi bộ,
横断する,HOÀNH ĐOẠN,hội chữ thập,
横綱,HOÀNH CƯƠNG,lớn nhà vô địch,
無料, LIỆU,tự do,
無い,"",không,
無事, SỰ,sự an toàn,
無駄な, ĐÀ,không có ích,
無礼な, LỄ,thô sơ,
一つ,NHẤT,một,
一日,NHẤT NHẬT,một ngày,
一日,NHẤT NHẬT,mồng 1,
一人,NHẤT NHÂN,một người,
一番,NHẤT PHIÊN,một cặp,
二,NHỊ,hai,
二つ,NHỊ,hai,
二時,NHỊ THỜI,hai giờ,
二月,NHỊ NGUYỆT,tháng hai,
二人,NHỊ NHÂN,hai người,
二日,NHỊ NHẬT,mồng 2,
二十日,NHỊ THẬP NHẬT,ngày hai mươi,
二十歳,NHỊ THẬP TUẾ,hai mươi tuổi,
四,TỨ,bốn,
四つ,TỨ,bốn,
四時,TỨ THỜI,bốn giờ,
四月,TỨ NGUYỆT,tháng tư,
四日,TỨ NHẬT,mồng 4,
四人,TỨ NHÂN,bốn người,
四年生,"TỨ NIÊN SANH,SINH",bốn năm,
四歳,TỨ TUẾ,bốn tuổi,
六,LỤC,sáu,
六つ,LỤC,mồng 6,
六時,LỤC THỜI,sáu giờ đúng,
六月,LỤC NGUYỆT,tháng sáu,
六日,LỤC NHẬT,thứ 6,
六人,LỤC NHÂN,sáu người,
八,BÁT,tám,
八つ,BÁT,8 cái,
八百,BÁT BÁCH,tám trăm,
政党,"CHÍNH,CHÁNH ĐẢNG",buổi tiệc,
与党,DỮ ĐẢNG,đảng cầm quyền,
野党,DÃ ĐẢNG,sự đối lập,
党首,ĐẢNG THỦ,lãnh đạo đảng,
二千,NHỊ THIÊN,hai ngàn,
三千,TAM THIÊN,ba nghìn,
八千,BÁT THIÊN,tám ngàn,
千円,THIÊN VIÊN,một nghìn yen,
千年,THIÊN NIÊN,ngàn năm,
千人,THIÊN NHÂN,ngàn người,
千葉県,THIÊN DIỆP HUYỆN,chiba quận,
百円,BÁCH VIÊN,một 100¥,
円,VIÊN,vòng tròn,
円い,VIÊN,tròn,
円高,VIÊN CAO,yên mạnh,
円安,VIÊN AN,yên yếu,
楕円, VIÊN,hình bầu dục,
円満,VIÊN MÃN,hòa điệu,
目,MỤC,mắt,
一日目,NHẤT NHẬT MỤC,ngày 1,
目的,MỤC ,mục đích,
科目,KHOA MỤC,vấn đề,
目次,MỤC THỨ,mục lục,
注目,CHÚ MỤC,chú ý,
面目ない,DIỆN MỤC,xấu hổ,
日曜日,NHẬT DIỆU NHẬT,chủ nhật,
八日,BÁT NHẬT,mồng 8,
八人,BÁT NHÂN,tám người,
十,THẬP,mười,
十時,THẬP THỜI,mười giờ,
十分,THẬP ,đầy đủ,
十月,THẬP NGUYỆT,tháng mười,
十日,THẬP NHẬT,10 ngày,
十人,THẬP NHÂN,mười,
十分,THẬP ,đầy đủ,
千,THIÊN,một ngàn,
日本,NHẬT BỔN,sơn mài nhật,
今日,KIM NHẬT,hôm nay,
三日,TAM NHẬT,ba ngày,
毎日,MỖI NHẬT,mỗi ngày,
日記,NHẬT KÍ,nhật ký,
母の日,MẪU NHẬT,ngày của mẹ,
休日,HƯU NHẬT,ngày nghỉ,
一月,NHẤT NGUYỆT,tháng giêng,
月曜日,NGUYỆT DIỆU NHẬT,thứ hai,
今月,KIM NGUYỆT,tháng này,
月曜日,NGUYỆT DIỆU NHẬT,thứ hai,
一ヶ月,NHẤT NGUYỆT,mot thang,
毎月,MỖI NGUYỆT,hằng tháng,
来月,LAI NGUYỆT,tháng tới,
お正月,CHÁNH NGUYỆT,năm mới,
水曜日,THỦY DIỆU NHẬT,thứ tư,
水曜日,THỦY DIỆU NHẬT,thứ tư,
水泳,THỦY VỊNH,bơi,
水道,THỦY ĐẠO,nước,
海水浴,HẢI THỦY DỤC,tắm,
水着,THỦY TRỨ,đồ bơi,
香水,HƯƠNG THỦY,nước hoa,
鼻水,TỊ THỦY,chứng sổ mũi,
金曜日,KIM DIỆU NHẬT,thứ sáu,
お金,KIM,tiền,
お金持ち,KIM TRÌ,giàu có,
料金,LIỆU KIM,học phí,
奨学金,TƯỞNG HỌC KIM,học bổng,
現金,HIỆN KIM,tiền mặt,
税金,THUẾ KIM,thuế,
金づち,KIM,búa,
日曜日,NHẬT DIỆU NHẬT,chủ nhật,
月曜日,NGUYỆT DIỆU NHẬT,thứ hai,
火曜日,HỎA DIỆU NHẬT,thứ ba,
水曜日,THỦY DIỆU NHẬT,thứ tư,
木曜日,MỘC DIỆU NHẬT,thứ năm,
金曜日,KIM DIỆU NHẬT,thứ sáu,
土曜日,THỔ DIỆU NHẬT,thứ bảy,
曜日,DIỆU NHẬT,ngày trong tuần,
人口,NHÂN KHẨU,dân số,
日本人,NHẬT BỔN NHÂN,nhật bản,
一人,NHẤT NHÂN,một người,
二人,NHỊ NHÂN,hai người,
三人,TAM NHÂN,ba người,
一人で,NHẤT NHÂN,một mình,
大人,ĐẠI NHÂN,người lớn,
女の人,NỮ NHÂN,đàn bà,
お寺,TỰ,chùa,
寺院,TỰ VIỆN,chùa,
山寺,"SAN,SƠN TỰ",đền thờ núi,
清水寺,THANH THỦY TỰ,đền kiyomizu,
金閣寺,KIM CÁC TỰ,chùa được dát vàng,
三時半,TAM THỜI BÁN,ba giờ rưỡi,
半分,BÁN ,rưỡi,
半島,BÁN ĐẢO,bán đảo,
半年,BÁN NIÊN,nửa năm,
前半,TIỀN BÁN,nửa đầu,
半額,BÁN NGẠCH,một nửa giá,
一月半ば,NHẤT NGUYỆT BÁN,giữa tháng,
五分,NGŨ ,rưỡi,
十分,THẬP ,đầy đủ,
半分,BÁN ,rưỡi,
分かる,"",tìm thấy,
自分,TỰ ,bản thân,
気分,KHÍ ,khí sắc,
十分,THẬP ,đầy đủ,
分ける,"",chia,
上,THƯỢNG,đỉnh,
上げる,THƯỢNG,tăng,
上手な,THƯỢNG THỦ,tốt,
上着,THƯỢNG TRỨ,áo khoác,
川上,XUYÊN THƯỢNG,kawakami,
屋上,ỐC THƯỢNG,mái nhà,
上る,THƯỢNG,leo,
下,HẠ,dưới,
下げる,HẠ,hạ,
下さい,HẠ,xin vui lòng,
地下鉄,ĐỊA HẠ THIẾT,xe điện ngầm,
下手な,HẠ THỦ,nghèo,
上下,THƯỢNG HẠ,lên và xuống,
下ろす,HẠ,hạ,
川下,XUYÊN HẠ,xuôi dòng,
力,LỰC,sức mạnh,
学力,HỌC LỰC,thành tích học tập,
電力,ĐIỆN LỰC,quyền lực,
重力,TRỌNG LỰC,nghiêm trọng,
協力する,HIỆP LỰC,hợp tác,
努力,NỖ LỰC,cố gắng,
力学,LỰC HỌC,cơ học,
視力,THỊ LỰC,tầm mắt,
中央口,TRUNG ƯƠNG KHẨU,lối vào trung tâm,
中国,TRUNG QUỐC,đồ sứ,
一年中,NHẤT NIÊN TRUNG,quanh năm,
中学校,TRUNG HỌC GIÁO,trung học cơ sở,
世界中,THẾ GIỚI TRUNG,trên thế giới,
背中,BỐI TRUNG,trở lại,
中止,TRUNG CHỈ,dừng lại,
中級,TRUNG CẤP,trung cấp,
工場,"CÔNG TRÀNG,TRƯỜNG",nhà máy,
工業,CÔNG NGHIỆP,công nghiệp,
工事,CÔNG SỰ,xây dựng,
大工,ĐẠI CÔNG,thợ mộc,
工夫,CÔNG PHU,device,
工学,CÔNG HỌC,kỹ thuật,
細工,TẾ CÔNG,khéo léo,
人工的,NHÂN CÔNG ,nhân tạo,
前半,TIỀN BÁN,nửa đầu,
午前,NGỌ TIỀN,buổi sáng,
午前中,NGỌ TIỀN TRUNG,vào buổi sáng,
名前,DANH TIỀN,tên,
三年前,TAM NIÊN TIỀN,ba năm trước,
前売り券,TIỀN MẠI KHOÁN,vé bán trước,
前半,TIỀN BÁN,nửa đầu,
門,MÔN,cửa,
専門,CHUYÊN MÔN,thạo,
正門,CHÁNH MÔN,cổng chính,
部門,BỘ MÔN,bộ,
入門,NHẬP MÔN,bắt đầu,
門松,MÔN TÙNG,trang trí cây thông,
名門,DANH MÔN,gia đình,
東,ĐÔNG,đông,
東口,ĐÔNG KHẨU,đông xuất cảnh,
中東,TRUNG ĐÔNG,trung đông,
東京,ĐÔNG KINH,tokyo,
関東,QUAN ĐÔNG,kanto,
東洋,ĐÔNG DƯƠNG,phương đông,
東海地方,ĐÔNG HẢI ĐỊA PHƯƠNG,vùng tokai,
東北地方,ĐÔNG BẮC ĐỊA PHƯƠNG,quận tohoku,
南西,NAM TÂY,tây nam,
南口,NAM KHẨU,cửa phía nam,
東南アジア,ĐÔNG NAM,đông nam á,
南東,NAM ĐÔNG,miền đông nam,
南北,NAM BẮC,nam và bắc,
南米,NAM MỄ,nam mỹ,
南極,NAM CỰC,nam cực,
田中さん,ĐIỀN TRUNG,tanaka,
山田さん,"SAN,SƠN ĐIỀN",yamada,
田舎,ĐIỀN XÁ,nước,
田んぼ,ĐIỀN,cấy lúa,
田植え,ĐIỀN THỰC,trồng lúa,
水田,THỦY ĐIỀN,lúa,
田園,ĐIỀN VIÊN,các vùng nông thôn,
名前,DANH TIỀN,tên,
有名な,HỮU DANH,nổi danh,
平仮名,BÌNH GIẢ DANH,hiragana,
名詞,DANH TỪ,danh từ,
氏名,THỊ DANH,tên,
名字,DANH TỰ,họ,
名詞,DANH TỪ,danh từ,
女の子,NỮ TỬ,cô gái,
女の人,NỮ NHÂN,đàn bà,
女性,NỮ TÍNH,đàn bà,
長女,TRƯỜNG NỮ,con gái lớn,
少女,THIỂU NỮ,cô gái,
彼女,BỈ NỮ,cô ấy,
女房,NỮ PHÒNG,vợ,
女神,NỮ THẦN,nữ thần,
学生,"HỌC SANH,SINH",sinh viên,
大学,ĐẠI HỌC,trường đại học,
学校,HỌC GIÁO,trường học,
学部,HỌC BỘ,đại học,
学習,HỌC TẬP,nghiên cứu,
学者,HỌC GIẢ,học giả,
文学,VĂN HỌC,văn chương,
学ぶ,HỌC,học hỏi,
先生,"TIÊN SANH,SINH",giáo viên,
先月,TIÊN NGUYỆT,tháng trước,
先週,TIÊN CHU,tuần trước,
先輩,TIÊN BỐI,tiền bối,
先日,TIÊN NHẬT,các ngày khác,
先祖,TIÊN TỔ,tổ tiên,
先に,TIÊN,đi trước,
父,PHỤ,cha,
お父さん,PHỤ,cha,
父の日,PHỤ NHẬT,ngày của cha,
祖父,TỔ PHỤ,ông nội,
父母,PHỤ MẪU,cha và mẹ,
祖父母,TỔ PHỤ MẪU,ông bà,
叔父/伯父,THÚC PHỤ BÁ PHỤ,bác/chú,
三年生,"TAM NIÊN SANH,SINH",lớp ba,
一年中,NHẤT NIÊN TRUNG,quanh năm,
今年,KIM NIÊN,năm nay,
去年,KHỨ NIÊN,năm ngoái,
毎年/毎年,MỖI NIÊN MỖI NIÊN,hàng năm/năm,
年,NIÊN,năm,
来年,LAI NIÊN,năm sau,
青少年,THANH THIỂU NIÊN,tuổi trẻ,
中年,TRUNG NIÊN,trung niên,
毎日,MỖI NHẬT,mỗi ngày,
毎月,MỖI NGUYỆT,hằng tháng,
毎年/毎年,MỖI NIÊN MỖI NIÊN,hàng năm/năm,
毎週,MỖI CHU,hàng tuần,
毎晩,MỖI VÃN,mỗi đêm,
毎朝,MỖI TRIỀU,mỗi buổi sáng,
毎度,MỖI ĐỘ,mỗi lần,
国,QUỐC,nước,
外国,NGOẠI QUỐC,nước ngoài,
中国,TRUNG QUỐC,đồ sứ,
韓国, QUỐC,nam triều tiên,
国会,QUỐC HỘI,nghị viện,
国際,QUỐC TẾ,quốc tế,
国籍,QUỐC TỊCH,quốc tịch,
国内,QUỐC NỘI,quốc nội,
将来,TƯỚNG LAI,tương lai,
将棋,TƯỚNG KÌ,cờ nhật,
将軍,TƯỚNG QUÂN,shogun,
主将,CHỦ TƯỚNG,thuyền trưởng,
見る,KIẾN,xem,
見せる,KIẾN,buổi diễn,
見える,KIẾN,nhìn,
花見,HOA KIẾN,ngắm hoa anh đào,
意見,Ý KIẾN,ý kiến,
見物,KIẾN VẬT,tham quan,
見本,KIẾN BỔN,mẫu,
見学,KIẾN HỌC,tham quan học tập,
行く,HÀNH,đi,
行う,HÀNH,làm,
銀行,NGÂN HÀNH,ngân hàng,
旅行,LỮ HÀNH,đi du lịch,
行動,HÀNH ĐỘNG,hoạt động,
行事,HÀNH SỰ,biến cố,
一行目,NHẤT HÀNH MỤC,dòng đầu tiên,
来る,LAI,đến,
来ます,LAI,bạn đến,
来ない,LAI,không đi,
来年,LAI NIÊN,năm sau,
来週,LAI CHU,tuần tới,
将来,TƯỚNG LAI,tương lai,
来学期,LAI HỌC KÌ,học kỳ tiếp theo,
来る,LAI,đến,
食べる,THỰC,ăn,
食べ物,THỰC VẬT,thức ăn,
食堂,THỰC ĐƯỜNG,quán ăn tự phục vụ,
食事,THỰC SỰ,bữa ăn,
昼食,TRÚ THỰC,bữa trưa,
朝食,TRIỀU THỰC,bữa ăn sáng,
食う,THỰC,ăn,
断食,ĐOẠN THỰC,nhanh,
耳,NHĨ,tai,
初耳,SƠ NHĨ,mới đến,
耳かき,NHĨ,cái lấy ráy tai,
耳鳴り,NHĨ MINH,tiếng ù tai,
耳鼻科,NHĨ TỊ KHOA,tai mũi họng,
言う,NGÔN,nói,
言葉,NGÔN DIỆP,cách diễn đạt,
一言,NHẤT NGÔN,lời,
伝言,TRUYỀN NGÔN,thông điệp,
方言,PHƯƠNG NGÔN,thổ ngữ,
予言,DỮ NGÔN,lời tiên tri,
言語学,NGÔN NGỮ HỌC,ngôn ngữ học,
言い訳,NGÔN DỊCH,cớ,
立つ,LẬP,đứng,
役に立つ,DỊCH LẬP,giúp,
目立つ,MỤC LẬP,đáng chú ý,
国立大学,QUỐC LẬP ĐẠI HỌC,đại học quốc gia,
立派,LẬP PHÁI,tốt,
建立,KIẾN LẬP,lắp máy,
周り,CHU,vùng lân cận,
周辺,CHU BIÊN,chu vi,
周期,CHU KÌ,thời gian,
世界一周,THẾ GIỚI NHẤT CHU,vòng quanh thế giới,
一周年,NHẤT CHU NIÊN,kỷ niệm đầu tiên,
大きい,ĐẠI,lớn,
大学,ĐẠI HỌC,trường đại học,
大学生,"ĐẠI HỌC SANH,SINH",sinh viên,
大人,ĐẠI NHÂN,người lớn,
大好きな,ĐẠI HẢO,yêu thích,
大使館,ĐẠI SỬ QUÁN,tòa đại sứ,
大切な,ĐẠI THIẾT,quan trọng,
大家,ĐẠI GIA,địa chủ,
小さい,TIỂU,nhỏ,
小学生,"TIỂU HỌC SANH,SINH",học sinh tiểu học,
小学校,TIỂU HỌC GIÁO,trường tiểu học,
小説,TIỂU THUYẾT,tiểu thuyết,
小包,TIỂU BAO,bưu kiện,
小麦,TIỂU MẠCH,lúa mì,
小川,TIỂU XUYÊN,lạch nhỏ,
安い,AN,rẻ,
安心する,AN TÂM,hãy yên tâm,
安全,AN TOÀN,sự an toàn,
不安な,BẤT AN,khó chịu,
安定,AN ĐỊNH,tính ổn định,
安易な,AN DỊCH,easy,
目安,MỤC AN,dấu hiệu,
円安,VIÊN AN,yen yếu,
古い,CỔ,cũ,
中古,TRUNG CỔ,thứ hai tay,
古本,CỔ BỔN,cuốn sách mua lại,
使い古す,SỬ CỔ,đồ dùng hỏng,
考古学,KHẢO CỔ HỌC,khảo cổ học,
古代,CỔ ĐẠI,cổ đại,
古都,CỔ ĐÔ,vốn cổ,
元気な,NGUYÊN KHÍ,lanh lợi,
気をつける,KHÍ,tôi chăm sóc,
天気,THIÊN KHÍ,thời tiết,
電気,ĐIỆN KHÍ,điện,
気持ち,KHÍ TRÌ,cảm giác,
人気,NHÂN KHÍ,phổ biến,
気に入る,KHÍ NHẬP,như,
気配,KHÍ PHỐI,dấu,
広い,QUẢNG,rộng,
